ID:
	char_294_ayer

CV:
	断崖
	エアースカーペ
	Ayerscarpe
	에이어스카르페

干员代号\Name:
	Unknown
	梶裕貴
	Yuki Kaji
	카지 유우키

招聘合同\Character Usage:
	信使护卫断崖，根据雇佣合约提供支援。
	とあるトランスポーターの護衛役・エアースカーペ。雇用契約に基づきロドスを支援する。
	Ayerscarpe, Messenger Bodyguard, will provide support in accordance with the terms of his contract.
	전달자 호위 에이어스카르페는 고용 협약에 따라 도움을 줄 것입니다.

合同描述\Character Description:
	实际履行时会比合约中规定的内容多很多。
	実際の履行時は契約で規定された内容よりずっと多い。
	Actual performance far exceeds what is stipulated in the contract.
	실제 이행 시엔 협약에 규정된 내용보다 훨씬 많을 것이다.

信物\Potential Item:
	一本自制侦察与反侦察指南。“你最好能在任何情况下保护好自己”，他是这样想的。
	敵への偵察及び敵からの偵察に関する自作の指南書。「いかなる状況でも自分の身をしっかりと守れるに越したことは無い。」彼はそう考えているようだ。
	A self-authored reconnaissance and counter-reconnaissance manual. His thought process was, 'it's best to keep yourself protected under any circumstance.'
	정찰 및 정찰을 따돌리는 법에 대한 사제 지침서. 그는 "어떤 상황에서도 자기 몸은 지킬 수 있는 편이 좋으니까" 라고 생각하고 있다.

天赋\Talents:
	索敌援助
	索敵支援
	Seek Aid
	색적 지원

技能\Skills:
	多导向散射弹丸
	多目標型散弾
	Shrapnel Burst
	다중 유도 분산 탄환

	浮游刃启动
	ブレイドビット起動
	Activate Phase Blades
	부유 칼날 기동

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】断崖
	【性别】男
	【战斗经验】一年
	【出身地】雷姆必拓
	【生日】10月25日
	【种族】卡特斯
	【身高】173cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】エアースカーペ
	【性別】男
	【戦闘経験】一年
	【出身地】レム・ビリトン
	【誕生日】10月25日
	【種族】コータス
	【身長】173cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Ayerscarpe
	[Gender] Male
	[Combat Experience] 1 Year
	[Place of Birth] RIM Billiton
	[Date of Birth] Oct 25
	[Race] Cautus
	[Height] 173cm
	[Infection Status] 
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드네임] 에이어스카르페
	[성별] 남
	[전투 경험] 1년
	[출신지] 림 빌리턴
	[생일] 10월 25일
	[종족] 카우투스
	[신장] 173cm
	[광석병 감염 상황] 의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】优良
	【生理耐受】优良
	【战术规划】标准
	【战斗技巧】优良
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】標準
	【戦場機動】優秀
	【生理的耐性】優秀
	【戦術立案】標準
	【戦闘技術】優秀
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Excellent
	[Physical Resilience] Excellent
	[Tactical Acumen] Standard
	[Combat Skill] Excellent
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 우수
	[생체 인내도] 우수
	[전술 계획력] 표준
	[전투 기술력] 우수
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	天灾信使莱恩哈特的护卫，与其一同来到罗德岛就职，主要提供护卫、侦查以及复杂条件下进行渗透与游击的经验。
	以雷姆必拓黑市购入的非制式武器切入战场，可在中近距离上为团队提供多种攻击方案，将驱逐敌人作为保护重要目标的唯一方式。

	個人履歴 :
	天災トランスポーターレオンハルトの護衛。彼に同行する形でロドスに加入し、護衛、偵察、および複雑な状況下においての潜入、遊撃の経験を活かして活躍している。
