ID:
	char_185_frncat

CV:
	慕斯
	ムース
	Mousse
	무스

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	罗德岛近卫干员慕斯，已经尽力把敌人想象成了抓板。
	ロドス前衛オペレーター・ムース、敵を爪とぎボードだと想像することでいっぱいいっぱい。
	Mousse, Guard Operator of Rhodes Island, thinks of her enemies as oversized scratching posts.
	로도스 아일랜드 가드 오퍼레이터 무스. 전장에서 그녀는 적을 스크래쳐라 상상하는 것만으로 늘 머릿속이 한가득이라고 합니다.

合同描述\Character Description:
	总而言之一个字，挠。
	とにかく掻こう。
	In a word, scratch.
	박박 긁는 모습밖에 안 떠오른다.

信物\Potential Item:
	一本封皮装点着金丝花纹的相册。里面的照片来自各只与拍摄者亲近的猫猫。猫猫！
	金糸の刺繍が施された花柄のアルバム。中の写真はそれぞれカメラマンと親しいにゃんこより。にゃんにゃん！
	An album whose cover is decorated with golden floral patterns. The photos inside record the 'kitties' that played with the photographer. Kitties!
	금실로 된 자수가 놓인 꽃무늬 앨범. 사진을 찍는 사람과 정다운 사이인 고양이의 사진이 꽂혀 있다. 야옹, 야옹~!

天赋\Talents:
	连击
	連続攻撃
	Combo
	연속 공격

技能\Skills:
	挠伤
	ひっかき！
	Scratch
	할퀴기!

	炸毛
	ねこのいかり
	Fury
	고양이의 분노

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】慕斯
	【性别】女
	【战斗经验】半年
	【出身地】维多利亚
	【生日】8月19日
	【种族】菲林
	【身高】154cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】ムース
	【性別】女
	【戦闘経験】半年
	【出身地】ヴィクトリア
	【誕生日】8月19日
	【種族】フェリーン
	【身長】154cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Mousse 
	[Gender] Female 
	[Combat Experience] Half a year 
	[Place of Birth] Victoria 
	[Date of Birth] Aug. 19 
	[Race] Feline 
	[Height] 154cm 
	[Infection Status] 
	Showed physical signs of Originium, infection confirmed by medical report.

	기본정보 :
	[코드네임] 무스
	[성별] 여
	[전투 경험] 반년
	[출신지] 빅토리아
	[생일] 8월 19일
	[종족] 필라인
	[신장] 154cm
	[광석병 감염 상황]
	체표면에 오리지늄 결정 분포 확인, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】标准
	【生理耐受】标准
	【战术规划】普通
	【战斗技巧】标准
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】標準
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】普通
	【戦闘技術】標準
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Standard 
	[Mobility] Standard 
	[Physical Resilience] Standard 
	[Tactical Acumen] Normal 
	[Combat Skill] Standard 
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 보통
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
	慕斯，曾于维多利亚王国伦蒂尼姆市瓦莱丽蛋糕店担任实习甜点师。在职期间感染矿石病，由双亲送入罗德岛进行治疗。 
	经本人意愿，接受若干心理辅导并通过多项测试后，获准正式加入罗德岛。现于罗德岛担任常规后勤人员，并提供战场辅助工作。

	個人履歴 :
	ムースはかつて、ヴィクトリア王国ロンディニウム市のヴァレリーというケーキ屋の実習パティシエを担当していた。在職中に鉱石病に感染し、両親によってロドスに送られ治療を受けている。
