7:59 P.M.    天气/多云
p.m.07:59 天候/曇天
7:59 PM \ Cloudy

龙门人工河流，码头
龍門人工河川 埠頭
Lungmen Aqueduct, Pier

[name="路人"]   下次不要再突然跳到船上了啊！很危险的！
[name="船員"]   もう二度と船に飛び乗るんじゃないぞ！　危ないだろ！
[name="Stranger"]   Now don't go jumping onto any more boats! It's dangerous!

[name="拜松"]   对不起，事出有因才......
[name="バイソン"]   ごめんなさい、これには理由がありまして……。
[name="Bison"]   Sorry, it's just, we were...

[name="拜松"]   请问刚才你有看见一位萨科塔人吗？
[name="バイソン"]   ところで、いまサンクタの人を見ませんでしたか？
[name="Bison"]   By the way, you didn't happen to see a Sankta lady around here, did you?

[name="路人"]   我没看见啦，真是遭不住，这些糖果可是今晚的后夜派对要用的，要是耽误了你赔得起......唔？
[name="船員"]   いや見てないな。本当に勘弁してくれよ。このキャンディーは今夜のパーティーに使うものなんだ。もし配達が遅れたらタダじゃおか……ん？
[name="Stranger"]   I didn't see anything. And I don't have time for this. These sweets are for the after party and are you gonna pay me if they turn up late... Oh?

[name="路人"]   萨、萨科塔......
[name="船員"]   さ、サンクタ……。
[name="Stranger"]   A S- Sankta...

[name="拜松"]   啊！莫斯提马小——
[name="バイソン"]   はっ！　モスティマさ——。
[name="Bison"]   Ah! Mostim——

[name="空"]   莫斯提马？你认识莫斯提马？
[name="ソラ"]   モスティマ？　君、モスティマを知ってるの？
[name="Sora"]   Mostima? You know Mostima?

[name="拜松"]   ......不好意思，是我认错人了。
[name="バイソン"]   ……すみません、人違いでした。
[name="Bison"]   Sorry. I mistook you for someone else.

[name="拜松"]   （这个人，好像在哪里见过？）
[name="バイソン"]   （この人、どこかで見たことがあるような……？）
[name="Bison"]   (This lady sure looks familiar.)

[name="路人"]   咳嗯，总之这次就先放过你了，下次不要再做这么危险的事情了！
[name="船員"]   コホンッ、とにかく今回はこのぐらいにしておいてやるが、もう二度とこんな危ない真似するんじゃないぞ！
[name="Stranger"]   Ahem. Anyway, I'll let you off this time. But don't go doing anything that dangerous ever again.

[name="拜松"]   抱、抱歉，真的是麻烦你了。
[name="バイソン"]   ご、ごめんなさい。本当にお騒がせしました。
[name="Bison"]   S- sorry. I didn't mean to trouble you.

[name="空"]   嗯......年轻的丰蹄......总觉得好像忘了什么......是什么呢......
[name="ソラ"]   うーん……フォルテの子供……なんとなくなにか忘れてるような……なんだろう……。
[name="Sora"]   Hm... Forte kid... there was something about a Forte kid... what was it...?

[name="空"]   啊！
[name="ソラ"]   あっ！
[name="Sora"]   Oh!

[name="拜松"]   哇！？你要做什么！？
[name="バイソン"]   わっ！？　な、なにするんですか！？
[name="Bison"]   Aaah! What are you doing?!

[name="空"]   你的角上卡着一颗糖！
[name="ソラ"]   君の角にキャンディーがひっかかってるよ！
