7:10 P.M.    天气/晴
p.m.07:10 天候/晴天
7:10 PM \ Clear

企鹅物流据点，糟糕的室内
ペンギン急便の拠点 荒れた室内
Penguin Logistics Base, Messy Room

[name="拜松"]   这里就是企鹅物流的据点......
[name="バイソン"]   ここがペンギン急便の拠点なんだ……。
[name="Bison"]   So this is where Penguin Logistics holes up...

[name="拜松"]   （好乱，而且好暗。）
[name="バイソン"]   （汚いな……しかも暗いよ。）
[name="Bison"]   (It's like a disaster area. And so dark.)

[name="德克萨斯"]   只是我们的据点之一，没怎么好好收拾，随意坐吧。
[name="テキサス"]   ここは拠点の一つだ。あまり片づけてないが、まぁ、そこら辺に適当に座ってくれ。
[name="Texas"]   It's one of our bases. We haven't cleaned up in a while. Just sit wherever.

[name="拜松"]   啊，谢谢......我好像还没有正式向你们道谢，企鹅物流的各位。
[name="バイソン"]   はい、ありが……そういえば、まだきちんとお礼の言葉を申し上げておりませんでした、ペンギン急便の皆様。
[name="Bison"]   Oh, thanks... I realize I didn't properly thank you, any of you.

[name="德克萨斯"]   只是工作，先做个自我介绍好了。
[name="テキサス"]   私は自分の仕事をしただけ。それよりキミは？
[name="Texas"]   We did our jobs. You should introduce yourself first.

[name="拜松"]   ——信使，代号拜松，来自龙门峯驰物流，受家父指教，前来贵司参观学习，请多关照。
[name="バイソン"]   トランスポーターの、バイソンと申します。龍門フェンツ運輸より参りました。父の指示により、御社を見学させていただきます。どうぞご指導ご鞭撻のほどをよろしくお願い致します。
[name="Bison"]   I'm a Messenger, codenamed Bison. I'm from Lungmen, and I work for Mountain Dash Logistics. My father sent me to learn what I can from your company. And I appreciate the opportunity.

[name="拜松"]   关于我与大帝先生的合同内容，虽然之前已经确认过了，但还是......
[name="バイソン"]   エンペラーさんとの契約内容に関しては既に確認しておりますが、まだ……。
[name="Bison"]   Now about the contract between me and Mr. Emperor, I know we've already been over it, but...

[name="大帝"]   慢着，我有个小问题，你那五大三粗的爹是怎么把你养得这么——
[name="エンペラー"]   ハッ、これは驚いたな。トンビが鷹を生むってやつか。あのガサツな親父がどうやってこんなデキた息子を——
[name="Emperor"]   Hold up, little man, I got a question. How'd your bigass daddy raise his boy to be so...

[name="德克萨斯"]   ......老板。
[name="テキサス"]   ……ボス。
[name="Texas"]   ...Boss.

[name="大帝"]   好，好，你继续。
[name="エンペラー"]   おっと、これはすまねぇ。続けろ。
[name="Emperor"]   Yeah yeah, go ahead.

[name="拜松"]   咳，关于刚才的袭击，无疑是对峯驰物流和企鹅物流的挑衅。
[name="バイソン"]   はっ。先ほどの襲撃は、明らかにフェンツ運輸とペンギン急便への挑発です。
[name="Bison"]   Anyway, about that ambush, it was definitely meant to provoke a reaction from MDL and Penguin Logistics.

[name="拜松"]   这件事情绝不能轻视，如果有必要的话，我会通知家父和近卫局，此事应当被视作一起恶性袭击——
[name="バイソン"]   今回の件は軽視できません。必要ならば、ぼくが父と近衛局に連絡します。この事をテロだとみなすべきかと——
[name="Bison"]   We can't take this sitting down. I can contact my father and the LGD. This is a case of aggravated assault...

[name="大帝"]   喂，德克萨斯。
[name="エンペラー"]   おい、テキサス。
[name="Emperor"]   Hey, Texas.

[name="德克萨斯"]   嗯？
[name="テキサス"]   なに？
[name="Texas"]   Hm?

[name="大帝"]   晚上吃什么？
[name="エンペラー"]   晩飯はなんだい？
[name="Emperor"]   What's for dinner?

[name="能天使"]   欢迎派对！还用问吗？但是空去哪儿了，不是留下看家了吗？
[name="エクシア"]   もっちろん歓迎パーティー！　それしかないっしょ？　でもソラがいないかぁ。留守番頼んどいたハズだったんだけど？
[name="Exusiai"]   We're throwing a welcome party, of course! But where's Sora? Didn't she stay home to hold down the fort?

