十三年前
十三年前
13 Years Ago
13년 전

8:09 P.M.  天气/大雪
p.m. 8:09 天気/大雪
8:09 P.M. \ Heavy snow
8:09 P.M. 날씨/눈

维多利亚边境自治郡，多伦郡，文森特庄园
ヴィクトリア辺境自治領 トロン郡 ヴィンセント荘園
Victoria Border Autonomous Region, County of Toron, Vincent Manor
빅토리아 변경 자치구, 토룬 카운티, 빈센트 저택

[name="文森特伯爵"]  多美妙的风雪夜，先生们女士们，欢迎，欢迎，快请进吧，让佣人们为你掸去风雪，去烤炉边取取暖。
[name="ヴィンセント伯爵"]  なんと美しい雪の夜でしょう。皆さん我が荘園へようこそ、どうぞ中へとお入りください。使用人たちにお体の雪を払わせます。それが終わったら暖炉で温まってください。
[name="Count Vincent"]  What a splendid blizzard eve! Ladies and gentlemen, welcome, welcome, please come in. Allow the servants to brush the snow off your tops, and thaw yourselves by the brazier.
[name="빈센트 백작"]  이 얼마나 아름다운 눈이 내리는 밤인가요. 신사 숙녀 여러분, 반갑습니다. 어서 오십시오. 하인들이 눈을 털어 드리면 난로 쪽으로 오셔서 몸이라도 좀 녹이시길 바랍니다.

[name="衣着靓丽的商人"]  伯爵先生，晚上好，真是盛大的晚会。
[name="衣装が派手な商人"]  伯爵、ごきげんよう。実に華やかなパーティーですこと。
[name="Finely-Dressed Merchant"]  A good evening to you, Count. Truly a magnificent soirée, this is.
[name="화려한 옷차림의 상인"]  반갑습니다, 백작님. 정말 멋진 파티로군요.

[name="文森特伯爵"]  欢迎，欢迎，戴安娜女士，能在新年的前夜见到您，是我的荣幸。
[name="ヴィンセント伯爵"]  ようこそお越しくださいました、ダイアナ様。新年前夜にあなたにお目にかかれるとは、光栄の至りです。
[name="Count Vincent"]  Welcome, welcome, Lady Diana. To meet you on the eve of the New Year is my honor entirely.
[name="빈센트 백작"]  어서 오십시오, 다이애나 여사님. 신년 전날 밤에 여사님을 뵐 수 있다니 영광입니다.

[name="衣着靓丽的商人"]  哪里的话。伯爵先生，您看，这是我从卡西米尔为您带来的礼物。
[name="衣装が派手な商人"]  いえいえ、こちらの方こそですわ。伯爵、こちらをお手に取ってみてくださいまし。カジミエーシュで、伯爵のために入手した贈り物です。
[name="Finely-Dressed Merchant"]  Nonsense. Now take a look, Count. I've a present for you, all the way from Kazimierz.
[name="화려한 옷차림의 상인"]  저야 말로요, 백작님. 카시미어에 갔다가 조그만 선물을 준비했답니다.

[name="文森特伯爵"]  多美的吊坠！谢谢您，戴安娜女士，代我向您的丈夫问好，现在，请快去屋里吧，可不能让雪花遮掩了您的美貌。
[name="ヴィンセント伯爵"]  なんという美しいペンダントでしょう！　ありがとうございます、ダイアナ様。旦那様によろしくお伝えください。さあ、早く中に。雪であなたの美貌が覆われてしまうのはもったいない。
[name="Count Vincent"]  What a beautiful pendant! My greatest thanks, Lady Diana, and send my well-wishes to your husband. Now, hurry along inside, we can't have the snow burying your gorgeous looks.
[name="빈센트 백작"]  오오, 아름다운 펜던트군요! 감사합니다, 저 대신 부군께 안부 전해 주십시오. 눈꽃에 여사님의 미모가 가려져선 안 되니 어서 안으로 드시지요.

[name="衣着靓丽的商人"]  哈，您说话还是这么动听。
[name="衣装が派手な商人"]  フフッ、相変わらずお上手なこと。
[name="Finely-Dressed Merchant"]  Hah! You speak as fine a line as ever.
[name="화려한 옷차림의 상인"]  호홋, 그리 말씀해 주시니 기분 좋은걸요.

[name="文森特伯爵"]  哦哦，看看谁来了，这不是“麦田男爵”吗！
[name="ヴィンセント伯爵"]  おお、誰かと思えば、「麦畑男爵」ではありませんか！
[name="Count Vincent"]  Oh-ho, look who's here! If it isn't our 'Baron of Rye!'
[name="빈센트 백작"]  오오, 이게 누구십니까! '바론 남작' 아니십니까!

[name="恭敬的男性贵族"]  我可担不起伯爵的赏识，但我还是厚着脸皮来啦！
[name="恭しい男性貴族"]  わたくしごときに伯爵からお呼びが掛かるとは思いませんでした。しかし、それでも厚かましく罷り越しましたよ！
[name="Courteous Nobleman"]  I could never shoulder a title as hefty as Baron, but here I am anyway, the pure nerve!
[name="점잖은 귀족"]  초대해 주셔서 감사합니다. 제가 낄 자리는 아닌 것 같지만 염치를 불구하고 왔습니다!

[name="文森特伯爵"]  瞧您说的，我们都发自肺腑地尊敬您呀，谁会不尊敬喂饱自己的人呢，哈哈哈！
[name="ヴィンセント伯爵"]  何をおっしゃいますか！　我々は皆、心から男爵のことを尊敬しているのですよ。自分たちの腹を満たしてくれるお方を敬わない理由などありません、ハハハッ！
[name="Count Vincent"]  See what you're saying! We all respect you from the bottom of our hearts. Who spurns the man who feeds his people well, now? Ha ha ha!
[name="빈센트 백작"]  그런 말씀이 어디 있습니까? 저희 모두 남작님을 존경하고 있답니다. 저희가 누구 덕분에 풍족하게 지내는데요, 하하하!

[name="恭敬的男性贵族"]  哎，伯爵说的是，等到来年收成的时候，请赏脸光顾寒舍，多伦郡最大的风车和面粉的香气一定让您流连忘返。
[name="恭しい男性貴族"]  いやはや、もったいないお言葉です。来年の収穫時期にはぜひとも我が畑をご贔屓願いますよ。トロン郡最大の風車と、小麦粉の香りは必ずや忘れがたいものになるとお約束できます。
[name="Courteous Nobleman"]  Ah, you're quite right. Once harvest comes next year, I'd be honored if you visit my humble home. The tallest windmills in Toron, the scent of flour everywhere. A stay sure to enchant you, if I do say so myself.
[name="점잖은 귀족"]  백작님도 참…… 내년 수확 철에는 저희 집에 와 주십시오. 토룬에서 가장 큰 풍차와 밀가루 향에 시간 가는 줄 모르실 겁니다.

[name="文森特伯爵"]  没问题，这场风雪过后，来年一定会大丰收的吧。
