7:10 P.M.    天气/晴
p.m.07:10 天候/晴天
7:10 PM \ Clear
7:10 p.m.    날씨/맑음

企鹅物流据点，糟糕的室内
ペンギン急便の拠点 荒れた室内
Penguin Logistics Base, Messy Room
펭귄 로지스틱스 거점, 엉망진창인 실내

[name="拜松"]   这里就是企鹅物流的据点......
[name="バイソン"]   ここがペンギン急便の拠点なんだ……。
[name="Bison"]   So this is where Penguin Logistics holes up...
[name="바이슨"]   이곳이 바로 펭귄 로지스틱스의 거점……

[name="拜松"]   （好乱，而且好暗。）
[name="バイソン"]   （汚いな……しかも暗いよ。）
[name="Bison"]   (It's like a disaster area. And so dark.)
[name="바이슨"]   (난장판이네… 게다가 엄청 어두워…)

[name="德克萨斯"]   只是我们的据点之一，没怎么好好收拾，随意坐吧。
[name="テキサス"]   ここは拠点の一つだ。あまり片づけてないが、まぁ、そこら辺に適当に座ってくれ。
[name="Texas"]   It's one of our bases. We haven't cleaned up in a while. Just sit wherever.
[name="텍사스"]   우리의 거점 중 하나일 뿐이다. 제대로 치우지는 않았지만, 편하게 앉아.

[name="拜松"]   啊，谢谢......我好像还没有正式向你们道谢，企鹅物流的各位。
[name="バイソン"]   はい、ありが……そういえば、まだきちんとお礼の言葉を申し上げておりませんでした、ペンギン急便の皆様。
[name="Bison"]   Oh, thanks... I realize I didn't properly thank you, any of you.
[name="바이슨"]   아, 고맙습니다…… 펭귄 로지스틱스의 여러분께 정식으로 감사하다는 인사도 드리지 못했네요.

[name="德克萨斯"]   只是工作，先做个自我介绍好了。
[name="テキサス"]   私は自分の仕事をしただけ。それよりキミは？
[name="Texas"]   We did our jobs. You should introduce yourself first.
[name="텍사스"]   일이니까 뭐. 그래서 넌 누구라고?

[name="拜松"]   ——信使，代号拜松，来自龙门峯驰物流，受家父指教，前来贵司参观学习，请多关照。
[name="バイソン"]   トランスポーターの、バイソンと申します。龍門フェンツ運輸より参りました。父の指示により、御社を見学させていただきます。どうぞご指導ご鞭撻のほどをよろしくお願い致します。
[name="Bison"]   I'm a Messenger, codenamed Bison. I'm from Lungmen, and I work for Mountain Dash Logistics. My father sent me to learn what I can from your company. And I appreciate the opportunity.
[name="바이슨"]   ……전달자, 코드네임 바이슨. 아버지의 지시로 용문 마운틴대쉬 로지스틱스에서 가르침을 받으러 왔습니다. 잘 부탁드립니다.

[name="拜松"]   关于我与大帝先生的合同内容，虽然之前已经确认过了，但还是......
[name="バイソン"]   エンペラーさんとの契約内容に関しては既に確認しておりますが、まだ……。
[name="Bison"]   Now about the contract between me and Mr. Emperor, I know we've already been over it, but...
[name="바이슨"]   저와 엠퍼러 씨의 계약 내용에 대해서는 이미 확인을 했지만, 그래도……

[name="大帝"]   慢着，我有个小问题，你那五大三粗的爹是怎么把你养得这么——
[name="エンペラー"]   ハッ、これは驚いたな。トンビが鷹を生むってやつか。あのガサツな親父がどうやってこんなデキた息子を——
[name="Emperor"]   Hold up, little man, I got a question. How'd your bigass daddy raise his boy to be so...
[name="엠퍼러"]   잠깐, 궁금한 게 하나 있는데, 그 우락부락한 아버지 밑에서 어떻게 요만한……

[name="德克萨斯"]   ......老板。
[name="テキサス"]   ……ボス。
[name="Texas"]   ...Boss.
[name="텍사스"]   ……보스.

[name="大帝"]   好，好，你继续。
[name="エンペラー"]   おっと、これはすまねぇ。続けろ。
[name="Emperor"]   Yeah yeah, go ahead.
[name="엠퍼러"]   오케이 오케이 계속해.

[name="拜松"]   咳，关于刚才的袭击，无疑是对峯驰物流和企鹅物流的挑衅。
[name="バイソン"]   はっ。先ほどの襲撃は、明らかにフェンツ運輸とペンギン急便への挑発です。
[name="Bison"]   Anyway, about that ambush, it was definitely meant to provoke a reaction from MDL and Penguin Logistics.
